"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"EZ-PJ-3510A-W-H";1;"AUDIOJACK_THERES";;;
2;"P1";"USB-A-THERES";1;"USB_A";;;
3;",,,,,";"Fiducial1x3_transp";6;"";;;
4;"Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**";"via_09_07";10;"Val**";;;
5;"MountingHole,MountingHole,MountingHole";"Mounting_hole_2.5mm";3;"Mounting_hole_3.3mm";;;
6;"MountingHole,MountingHole";"Mounting_hole_THERES";2;"Mounting_hole_3.3mm";;;
7;"P4";"CON-SPK-HERMES";1;"CONN_01X02";;;
8;"P2";"FPV-WZA21-40-LF";1;"CONN_01X40";;;
9;"C1,C9,C5";"C_0603_5MIL_DWS";3;"10uF";;;
10;"C2,C3,C6,C7,C8";"C_0402_SMALL";5;"33pF";;;
11;"C4";"C_0402_SMALL";1;"10pF";;;
12;"L1,L2";"L_0805_5MIL_DWS";2;"FB0805";;;
13;"P3";"MIC-TERES";1;"CONN_01X02";;;
14;"R1";"R_0402_SMALL";1;"2.2K";;;
15;"";"OLIMEX_LOGO_SMALL_TB";1;"";;;
16;"Ref**";"LOGO_ANTISTATIC_SMALL_4.5mmX2.8mm";1;"Val**";;;
17;"";"LOGO_PBFREE";1;"";;;
18;"";"LOGO_RECYCLEBIN_1";1;"";;;
19;"MICRO_SD1";"uSD-CARD-TERES";1;"MICRO_SD(TFC-WXCP11-08-LF)";;;
