"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,";"via_04_055";20;"";;;
2;"Y1";"Q5x3.25";1;"16.000MHz/SMD5x3.2/12pF";;;
3;"U1";"TQFP44";1;"ATMEGA16U4-A";;;
4;"MountingHole,MountingHole";"Mounting_hole_2.5mm";2;"Mounting_hole_2.5mm";;;
5;"P1";"FLEX-CONN-KBD-TERES-24x1";1;"CONN_01X24";;;
6;"C1";"C0402";1;"1uF";;;
7;"C2,C3,C4,C5,C8,C9";"C0402";6;"100nF";;;
8;"C6,C7";"C_0603_5MIL_DWS";2;"1uF";;;
9;"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25";"C0402";16;"1nF";;;
10;"C26,C27";"C0402";2;"20pF";;;
11;"ICSP0";"HN2x3";1;"d.n.p.(HR2x3)";;;
12;"L1";"L_0805_5MIL_DWS";1;"FB0805";;;
13;"R1";"R_0402_5MIL_DWS";1;"d.n.p.(10K)";;;
14;"R2,R3,R8";"R_0402_5MIL_DWS";3;"22R";;;
15;"R4,R5,R6,R7,R9,R10";"R_0402_5MIL_DWS";6;"10K";;;
16;"RP1,RP2";"R_MATRIX_4_KICAD";2;"4x1.5K_RA1206";;;
17;",,";"Fiducial1x3_transp";3;"";;;
18;",";"OLIMEX_LOGO_TB";2;"";;;
19;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
20;"Ref**";"LOGO_ANTISTATIC_1";1;"Val**";;;
21;"";"LOGO_PBFREE";1;"";;;
22;"Ref**";"LOGO_ROHS_1";1;"Val**";;;
23;"";"LOGO_RECYCLEBIN_1";1;"";;;
24;"P3";"FLEXCON-0.5-12";1;"CONN_01X12";;;
25;"P2";"FLEXCON-0.5-6";1;"CONN_01X06";;;
